,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86
P1,1.0,0.33336214229060246,0.2985299351038294,0.3769409227494102,0.26580919445873374,0.03849025367587864,0.18355431078559414,0.32102732259975336,0.05721603739799433,0.3145898982079409,0.1662675129748531,0.5390546647804407,0.19991142893282643,0.17087105136229241,0.26798089296892336,0.3699984461397685,0.28285200029526275,0.3871404411002537,0.2910869581433198,0.41527137780978035,-0.039447998366753376,0.2973850764636235,0.1399305016371949,0.13721139945525404,0.32711254276025964,0.3806812976534442,0.06616085270895598,0.29427857786919276,0.37035276032598374,0.4328164994349262,0.3002328848428535,0.34980130497397766,0.38559599557335567,0.24620429781086242,0.24258267800861752,0.15234310324528805,0.30912426182413516,0.3067535609648243,0.14159523798867285,0.2912017718498451,0.23061706143180766,0.32936009649915243,0.24111613486624817,0.34931714208190484,0.15472614536130722,0.4899974948257993,0.3166201920887326,0.30133537852903663,0.11598783131898932,0.07817337816547172,0.05635424278676653,0.20943475136200163,0.06358152301922769,0.3285953856604094,0.32663947283795375,0.04446190562693242,0.4205234176119401,0.3808313112290526,0.31327228493440984,0.2302751600565135,0.2651797083068087,0.22060412641954383,0.22358055004793062,0.37829224032276787,0.2663601403165945,0.016917930578401456,0.30766362670981984,0.3231529001459384,0.3501648651889582,0.33442711889664056,-0.04609383093214553,0.06509616829764835,0.192608632813239,0.17349799270679328,0.5028574495165458,0.28283936312168434,0.39274374501791454,0.08251812181897347,0.28566601646601597,0.07829020015858203,-0.08907651572515868,-0.13832114154194244,0.507826740939952,0.16322329564929117,0.1725605785355737,0.3648240001532686
P2,0.33336214229060246,1.0,0.38216756997864054,0.19648092379095058,0.2696985284673052,0.03717782700967759,0.22253435411753483,0.5870699053620723,0.22448131542837862,0.313083492180286,0.20883762024290253,0.3113606013197215,0.321056793395247,0.07181893560317092,0.2469185947479062,0.19667013439689904,0.3250643529036152,0.19316179063968508,0.26838154279513693,0.5275780674647762,0.21044810049621393,0.04489004324027953,0.27881166797270407,0.33544135743458114,0.355618588814449,0.2524210117374545,0.2077312308231149,0.30762333880735765,0.2714177747944475,0.22914919088135907,0.3541393202352725,0.3501093950578057,0.4184203378675964,0.34730768941931145,0.3240321026125059,0.04619326003339809,0.4407949425004519,0.3190433577918398,0.01389777264768942,0.17050978506956513,0.4638658785099765,0.3817602497423641,0.299489171951918,0.521625765794239,0.24805359251894796,0.48091704188412143,0.453692994067724,0.313834893021183,0.26519184566454473,0.17094350583352536,0.02750582696770805,0.2788238668060281,0.23857773940050914,0.2832473191789549,0.40163961545116306,0.1289114902836137,0.42367940694682554,0.37584895193352724,0.47458604816598043,0.007702757329621078,0.2824675831878962,0.3225120218522219,0.31566139042748664,0.29305736473427935,-0.021817692021052403,0.16282390699224672,0.36308202499886627,0.4239843534006321,0.39369727234873536,0.47178565184335414,0.22174654896286006,0.23103378780750394,0.34356781646100515,-0.10687508509060936,0.45145055264080197,0.2827694006491119,0.3593305523753685,0.2744123715177605,0.14495521626451582,0.3630926273133491,-0.14652876515061874,0.12315750960089275,0.504152915214848,0.37418852764025534,-0.14888113987426538,0.252009268470222
P3,0.2985299351038294,0.38216756997864054,1.0,0.26965932785630625,0.0877605905731805,0.18861851717743444,0.3449945852929989,0.499979939931205,0.27323841857210907,0.3678739669943934,0.13371718830643586,0.3685694011495358,0.35115467222606067,0.506846629591371,0.04038676683684261,0.21937843295127524,0.31823877697740205,0.1907063777260914,0.29691399103286953,0.5536094742145062,0.19061478119726405,0.20631223763558995,0.2166075707538783,0.4266525948271544,0.25675482161395513,0.3901968373908103,0.30560628623007213,0.4109831310077646,0.07870238713719951,0.24947017743986602,0.20656063011756048,0.2772131781259818,0.26068425475306867,0.35651591014234946,0.1727323393362876,0.10880828566240233,0.3935270331194436,0.3556490713086314,0.11001321166296091,-0.011608621619052604,0.3330270265521105,0.10381786060044694,0.38235591267595487,0.38482912888753507,0.1310546675969624,0.28665620027760463,0.18272158683560075,0.4016838365763053,0.1676892114421324,0.29501351036200657,0.15506894496154866,0.33436325018539165,0.2885821726689163,0.2703823242404819,0.22664850452057897,0.40967524439018804,0.2359704838315395,0.2535813434924906,0.3522412936760185,0.14458041431449206,0.3589864585125582,0.023109309220794565,0.3961627724250471,0.32667000957246506,-0.057717363699524946,0.19220418581058452,0.23372931194138755,0.396877416235756,0.4199259425439202,0.3385624134532005,0.30804535975112646,0.19056034201955502,0.47950155843677217,0.19122113836072477,0.45439677767533393,0.3733502011177528,0.28889577279616857,0.22706616839165714,0.2437378813734,0.19709878419895313,-0.11693654553357057,0.13770696337802793,0.4427896651988084,0.1406912973100131,0.16080099516146382,0.28944100271951123
P4,0.3769409227494102,0.19648092379095058,0.26965932785630625,0.9999999999999999,0.3938340115233065,0.377611949056257,0.4179255129847092,0.3793510973382821,0.04713907867412455,0.3930407375831305,0.34606891386717364,0.36191556770354827,0.21135875437111465,0.2200307999327069,0.1818563387184282,0.34877760735156593,0.3056702939824116,0.2517635505528766,0.5427380863118527,0.3605228904686031,0.27012689013054825,0.1987594321012957,0.07963704500760997,0.3979979965703467,0.36354080341816103,0.3015044427402062,0.32275534758980756,0.475643617661891,0.41373961998108544,0.23171295472069828,0.3272921208233623,0.4103641681675321,0.5296222636774324,0.13713140188622025,0.43349422909019064,0.12126732137708938,0.1610037529497666,0.3536309610344572,0.1820747695673855,0.12908109710842755,0.2395866205504908,0.3102366257185533,0.4207920854856791,0.24044150918418822,0.1833916689471993,0.4531439011464347,0.20946437855771377,0.3599236501940073,0.13355115832803033,0.26098538422951456,0.43978777037534555,0.33120303495907155,0.3420174782186632,0.49847000026831745,0.3807995464227757,0.2220030110151223,0.38420037609447133,0.4221644598726398,0.39691625950620174,0.4647009615492515,0.2544849317220634,0.3941408593003749,0.36717632272942713,0.6522665840439185,0.04853768712611624,0.19741225591850156,0.37220282173141594,0.3563683086009419,0.31936215267402057,0.22403712620018867,0.25459371996324126,0.13423610368123862,0.30859668166582455,0.20251057066523553,0.2560503402285663,0.401321629131965,0.38036941318846174,0.11608324588564832,0.3578235773792396,0.15414683720715083,0.033859412436864786,-0.026542040941603163,0.27045323378452096,0.16100974293961512,0.20490789027604625,0.1610887435422811
P5,0.26580919445873374,0.2696985284673052,0.0877605905731805,0.3938340115233065,1.0,0.2258233205682258,0.38668109687370145,0.19104318486030217,0.24750832805624434,0.44638004435227757,0.40495876360784333,0.2702691258455547,0.35059145925038215,0.03201162452218044,0.13094650597100835,0.44326238121041334,0.3204686689125982,0.20953668214024157,0.45540937137899073,0.24922666725535453,0.10846930979523813,0.23537990176458323,-0.0393410741471744,0.3679859136686818,0.3300415499624341,0.42738713945871315,0.20293165441187247,0.3970391166949455,0.5079071973620696,0.33485287339554715,0.3549776821468153,0.41928739864685266,0.3342718001703766,0.06550731942188946,0.4592089266127533,0.19857189874498812,0.06966002654955712,0.3921517313708212,0.32457163067222977,0.24601202952650422,0.36711720399929737,0.18178804817386265,0.48522659110770405,0.2917308440551774,0.2690588914777304,0.2812741376487541,0.20106552482945256,0.35409257712586856,0.2858498987380764,0.3365869189941755,0.24411057097449287,0.18843126615506617,0.3147668106576549,0.2512558695406696,0.37793965299912086,0.13572217616797422,0.37139865245653575,0.41532935891988726,0.3033426541155894,0.4879230133006849,0.08146847331413426,0.569991560005368,0.3825998796756342,0.5474477240785044,0.19612042620828515,0.3208393991459105,0.4138628737899675,0.14568636132989618,0.18002237780559197,0.4198806283394631,-0.0368339064340048,0.1372023669090079,0.2866971689360758,0.19488529145077113,0.19915471108869817,0.2946173632761338,0.2353627730363078,0.1944958481201606,0.2384705085911866,0.36615915937434057,0.1415369948945192,0.09671792215253479,0.16490769651180423,0.06571205177437023,0.039089574478595096,0.041627144475296717
P6,0.03849025367587864,0.03717782700967759,0.18861851717743444,0.377611949056257,0.2258233205682258,1.0,0.31178774145323696,0.18321385948893415,0.10165361732623167,0.16483626224911396,0.035990553567883186,0.18864137554724503,0.28144893701417933,0.18819842414967147,0.19327885838005895,0.3108280899867952,0.3977305322599002,0.3297131034217761,0.28425909996685655,0.21552474934535218,0.18671389104009475,0.43485733015306455,0.17108454282955646,0.4024060140854126,0.33360475288854025,0.28513467450220076,0.256077120249779,0.3327057837226215,0.35590892481195413,0.13485375420632867,0.3663387415090279,0.4156436392834296,0.2794035073284612,0.19480221195385444,0.34629414542746617,0.34851122527454653,0.15033605585155124,0.22337582664412528,0.3778864796331167,0.2305663539195154,0.11100725585294921,0.12017050091990099,0.32116457975093227,0.12488291322079965,0.1056696353540829,0.12304266586710637,-0.0804650402479592,0.3493707319842146,0.24814951032191288,0.33143611460239153,0.4574222819976422,0.21071876383656699,0.32234969683711046,0.18616883448398505,0.0845778591916083,0.10807300549137148,0.08150748652682613,0.20942706089765267,0.15290297488998422,0.3026656427294576,0.0327254430972547,0.27213931025625954,0.5164451908464952,0.314276132907669,0.15020455739732902,0.4166627210330758,0.3213200868595358,0.28034565033091546,0.17288855663976233,-0.008054485103293275,0.07091126220652723,0.2340430202018785,0.1417378331683113,0.17684329705196852,0.20181430011507165,0.39614176473689533,0.024649487233609504,-0.023972452144338206,0.23695467526267971,0.2664781355248432,0.18764423306241276,0.002886616563853146,0.22939225779849762,0.06339687687779155,0.2620802816211387,0.27046736409123023
P7,0.18355431078559414,0.22253435411753483,0.3449945852929989,0.4179255129847092,0.38668109687370145,0.31178774145323696,1.0,0.18561151540655252,0.34775602118718424,0.5819282742843715,0.13912818271078312,0.21194928057782253,0.3481063970108578,0.2810781997982533,0.32596790279842935,0.1582518692313845,0.2530710165376091,0.14065786713608341,0.2682182937401484,0.3031141008777536,0.3497426999444558,0.17363734040430234,0.09199318120609881,0.5375601997160824,0.47206042001775744,0.44669738018520205,0.37759531578338923,0.5878709008627618,0.42143082399763754,0.14933482195880074,0.29529342467115915,0.37230206354181133,0.37010596085097985,0.13578417564692724,0.5816341129945348,-0.07270578714666528,0.354591355698468,0.5344395151383287,0.4632175668406103,0.28154205511740815,0.21283461252034033,0.14284402080703557,0.5507258443448992,0.3664866803550543,0.3765845338594021,0.3035184355573381,0.23067347407563424,0.3263762069597471,0.29486352087666146,0.4716812806007309,0.47690734097118903,0.3076258621094675,0.3146605883906446,0.24847919582304717,0.38145599820412773,0.27692700598343156,0.2074573265590257,0.32482407254593626,0.37524219456878705,0.39276354665054075,0.23988247755900097,0.29295864350208894,0.4456780264362434,0.4888518644562946,0.018978277244473468,0.45026965453646234,0.35005246424504516,0.40760812583915834,0.4758806851117478,0.36597124506905,0.2860005419840479,0.20113086980915365,0.5936056803620591,0.17475336045068027,0.055830095967957606,0.3096358349771902,0.2851542610432631,0.04488176483783272,0.3417812883060236,0.29628995462081004,-0.2587235132445754,0.1314380772195879,0.1179522797283223,0.06520885741033947,0.06022224414335828,0.0244909017034361
P8,0.32102732259975336,0.5870699053620723,0.499979939931205,0.3793510973382821,0.19104318486030217,0.18321385948893415,0.18561151540655252,0.9999999999999999,0.3264960516536349,0.3115225713637177,0.2746472062700168,0.37465629540118767,0.25172033030998003,0.39535536084013917,0.2678289281355443,0.3480194327807041,0.5107014900687902,0.2963016064954269,0.5297957031094129,0.5031367008083194,0.21846034729801048,0.27434979740718884,0.4262304452343418,0.38918419943516913,0.42461475313678443,0.3094338332433758,0.3932534815345094,0.3711088205146827,0.24924384196591878,0.33314325594937594,0.34484084359978656,0.4753293933793606,0.5354285131212448,0.4098412960358897,0.2712533649359332,0.2342743984205604,0.3928303098460932,0.37941364960226553,0.16609081504066886,0.21370331642878396,0.44508408207429223,0.37492223207755226,0.3099162516004549,0.5275596780797259,0.3506105993176326,0.349185248105144,0.35122858862124323,0.30767888897139456,0.18599814774074444,0.16260758447878992,0.1934090524376143,0.4646683181394649,0.5082970893843562,0.532058783892401,0.3052563548872818,0.4564222145955942,0.4975481528592558,0.36206960582997616,0.5533369974978561,0.07049383617726557,0.45535478105205573,0.2738990255351533,0.326424941782759,0.36801538259824024,0.02998632550475627,0.04949277868399997,0.30793359121735037,0.4921733219208781,0.45381812945301603,0.264646046018801,0.42650048779132316,0.14470141662878078,0.3713183106277446,-0.10240848466364941,0.4816566975025504,0.4752078537767821,0.3749870568347102,0.04565846398759322,0.387182890351039,0.45348763664276825,-0.12249092063345525,0.07867395257417174,0.6458855290131836,0.15279717030319476,-0.04932798642893079,0.3385425674288498
P9,0.05721603739799433,0.22448131542837862,0.27323841857210907,0.04713907867412455,0.24750832805624434,0.10165361732623167,0.34775602118718424,0.3264960516536349,1.0,0.40741967826019193,0.2369003504255244,0.2257732292503992,0.32077342253288016,0.22732817783704592,0.3473381326908849,-0.0007106501324228994,0.359618816227889,0.2864386894707922,0.42222856548856247,0.1868046056295262,0.2650073892320323,0.3173703073448982,0.20070798833527967,0.27552880143770725,0.36419739406081625,0.3706898434796467,0.3004252252553336,0.3096385786637904,0.3521859055134824,0.039696767754839046,0.2342127329686929,0.37296542999361315,0.337135181465574,0.037819183870577616,0.24546631196385574,0.040442647064667624,0.3513042518230052,0.43701544976017875,0.20865369801293174,0.23345190408383915,0.3150097678836431,0.15536129461133172,0.24634314051220293,0.5015216704803668,0.14622175473118035,0.12520858031915624,0.34851888492543104,0.2611083715606931,0.28897964648911634,0.42823438179681134,0.4285904034796635,0.3064448051262361,0.4335323897711638,0.271825407721855,0.5058231184377373,0.21024522425876524,0.42453345800076886,0.3559264199293406,0.25628634854455334,0.09693009839249529,0.4378231719696932,0.5129043733459671,0.2755202758986547,0.26898258231867894,0.16315285559189757,0.09389396668394298,0.1289294324266924,0.42136698138115153,0.313823299586538,0.3318331606388402,0.35615014230810454,0.16854032052206583,0.48684067335325776,0.07544088759865347,0.018543837443190412,0.4143487945040715,0.1904379020560977,0.029100972525839968,0.12691438335674798,0.21183374543000444,0.008080371257606843,0.14553027193382542,0.1542729981207615,-0.12527396768164137,0.003972554972614494,0.149624813943826
P10,0.3145898982079409,0.313083492180286,0.3678739669943934,0.3930407375831305,0.44638004435227757,0.16483626224911396,0.5819282742843715,0.3115225713637177,0.40741967826019193,1.0,0.4433093656750639,0.29761167421589463,0.20177146409938784,0.3170563053817219,0.3252564037461176,0.27899089501567226,0.28177338826837,0.0955599409098776,0.3877787710279634,0.47158438596955526,0.23387958928494604,0.1321767550004351,0.062296980340947876,0.3486339602127866,0.4419808618126474,0.5805151645833335,0.33940584684846725,0.5045461640551722,0.2170081077461122,0.13986487183518131,0.43451136474197816,0.43316175128776513,0.35979285731620125,0.17348973297683767,0.6945227025206451,0.06022493997918725,0.25558302250645526,0.5225181284348005,0.42177011891761873,0.1718539216039823,0.29932149645664025,0.12367234545245451,0.4702694695194604,0.5472170120313192,0.4149000477929457,0.4396046107697206,0.3833208376990403,0.4357360642573532,0.27951502759118896,0.5376973082870304,0.36467303084760394,0.36523751435669766,0.33815230164112564,0.3374920047948371,0.44761942210235955,0.1664825574563891,0.4631142354705169,0.4480766886182391,0.447538348196049,0.38376012916577507,0.33258438953825775,0.43910881049983735,0.30238554115841637,0.5790275638453305,0.06114564151410882,0.2587482761457133,0.3902960008811416,0.3996972093142397,0.46941527849498116,0.4819435459022204,0.35239271762375296,0.254212356826546,0.7613752369497849,0.05940109987952282,0.19673857572770845,0.37596153193929027,0.19073095301860285,0.09190127698266817,0.273338258392827,0.30262199311829696,-0.07161009584131121,0.03916134879524337,0.2061561384819133,0.18998947243334854,0.08964482972974457,0.2227470509072006
