threshold,nodes,edges,density,average_degree,components,largest_component,giant_fraction,clustering,average_path_length,diameter,er_clustering_mean,er_clustering_std,er_path_length_mean,er_path_length_std,er_giant_fraction_mean,er_giant_fraction_std
0.0,60,1770,1.0,59.0,1,60,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.05,60,1506,0.8508474576271187,50.2,1,60,1.0,0.869090191607635,1.1491525423728814,2.0,0.8515327395106153,0.009008954696632838,1.148497175141243,0.0087586001929808,1.0,0.0
0.1,60,1247,0.7045197740112994,41.56666666666667,1,60,1.0,0.7666873061707943,1.2954802259887006,2.0,0.705126287228451,0.010424817864582745,1.295135593220339,0.009927727277892465,1.0,0.0
0.15,60,972,0.5491525423728814,32.4,1,60,1.0,0.6706799780746188,1.4519774011299436,3.0,0.5499381799831942,0.01220910211696978,1.449774011299435,0.01111904022995484,1.0,0.0
0.2,60,708,0.4,23.6,1,60,1.0,0.5991792728021497,1.6361581920903956,3.0,0.40352919487941813,0.012711026781353376,1.5974802259887002,0.011297576118278519,1.0,0.0
0.25,60,501,0.2830508474576271,16.7,1,60,1.0,0.5022814309904619,1.9220338983050846,4.0,0.28598792462239947,0.014600694834497177,1.719446327683616,0.012807843562217123,1.0,0.0
0.3,60,325,0.18361581920903955,10.833333333333334,4,57,0.95,0.44765344196518153,2.2794486215538847,5.0,0.18791818143449754,0.016845537630714218,1.918463276836158,0.035978710619782445,1.0,0.0
0.35,60,186,0.10508474576271186,6.2,12,49,0.8166666666666667,0.3099487875958464,2.642857142857143,7.0,0.10614878093039858,0.02051869542286484,2.3938336255601014,0.08381534640027219,0.9993333333333334,0.0032659863237109146
0.4,60,93,0.05254237288135593,3.1,20,40,0.6666666666666666,0.14976292226292226,2.8743589743589744,8.0,0.04045621693121692,0.020630822965124487,3.512989842205405,0.2718634447729342,0.9516666666666667,0.032787192621509996
0.45,60,40,0.022598870056497175,1.3333333333333333,33,23,0.38333333333333336,0.09435185185185184,2.8379446640316206,7.0,0.006807142857142857,0.012477613387697971,4.736513770010449,1.0033147917525829,0.4675000000000001,0.1566201171979868
0.5,60,14,0.007909604519774011,0.4666666666666667,47,7,0.11666666666666667,0.027777777777777776,2.2857142857142856,5.0,0.0008500000000000001,0.006043798474469513,1.916221667221667,0.5173747238909093,0.08783333333333335,0.03542245050811702
0.55,60,8,0.004519774011299435,0.26666666666666666,52,5,0.08333333333333333,0.0,2.0,4.0,0.0005,0.004974937185533098,1.4032222222222221,0.34053079482217496,0.055333333333333325,0.020121851030382092
0.6,60,2,0.0011299435028248588,0.06666666666666667,58,3,0.05,0.0,1.3333333333333333,2.0,0.0,0.0,1.0436507936507935,0.11244942313733929,0.032499999999999994,0.008620067027323835
0.65,60,1,0.0005649717514124294,0.03333333333333333,59,2,0.03333333333333333,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.02583333333333333,0.0082915619758885
0.7,60,0,0.0,0.0,60,1,0.016666666666666666,0.0,,,0.0,0.0,,,0.016666666666666666,0.0
0.75,60,0,0.0,0.0,60,1,0.016666666666666666,0.0,,,0.0,0.0,,,0.016666666666666666,0.0
0.8,60,0,0.0,0.0,60,1,0.016666666666666666,0.0,,,0.0,0.0,,,0.016666666666666666,0.0
0.85,60,0,0.0,0.0,60,1,0.016666666666666666,0.0,,,0.0,0.0,,,0.016666666666666666,0.0
0.9,60,0,0.0,0.0,60,1,0.016666666666666666,0.0,,,0.0,0.0,,,0.016666666666666666,0.0
