,T01. Artificial Intelligence will improve society more than it will create problems.,T02. Generative AI tools should be allowed as learning aids in higher education.,T03. Students should disclose the use of AI in assignments and reports.,T04. Every engineering student should receive formal education in AI.,T05. Artificial Intelligence will significantly accelerate scientific discovery.,T06. Most repetitive jobs will eventually be replaced by intelligent automation.,T07. Robots should replace humans in hazardous occupations whenever possible.,T08. AI-assisted diagnosis should become routine in healthcare.,T09. Autonomous vehicles will ultimately make transportation safer.,T10. Protection of personal data is more important than technological convenience.,T11. Technology companies should explain how recommendation algorithms work.,T12. Governments should introduce stricter regulations for Artificial Intelligence.,T13. Cybersecurity deserves greater investment than the development of new digital technologies.,T14. Social media algorithms contribute to opinion polarization.,T15. Society will increasingly depend on AI-assisted decision making.,E01. Project-based learning develops deeper understanding than examination-oriented learning.,E02. Traditional written examinations accurately measure a student's knowledge.,E03. Class attendance should be compulsory for all courses.,E04. High-quality online learning can effectively complement classroom teaching.,E05. Students should be encouraged to take courses outside their primary discipline.,E06. Every undergraduate student should participate in at least one research project.,"E07. Publishing research before graduation should be encouraged, but not mandatory.",E08. Maintaining academic honesty is more important than obtaining high grades.,E09. Collaborative learning is generally more effective than individual learning.,E10. Universities should prioritize innovation and problem-solving over rote learning.,E11. University curricula should be updated more frequently to match emerging technologies.,E12. Artificial intelligence should be integrated into teaching and personalized learning.,E13. Universities should invest more resources in research than in expanding infrastructure.,E14. Strong collaborations between universities and industry improve student education.,E15. Continuous learning and skill development are essential throughout one's career.,S01. Every individual has a responsibility to contribute positively to society.,S02. Universities should encourage students to participate in community service activities.,S03. New technologies should be evaluated for their societal impact before widespread deployment.,S04. Technology companies should be accountable for unethical use of their platforms.,S05. Individuals should have greater control over how their personal data are collected and used.,"S06. Combating online misinformation requires shared responsibility among users, platforms, and governments.",S07. Equal opportunities should be prioritized regardless of a person's background.,S08. Diverse teams generally make better decisions than homogeneous teams.,S09. Universities should promote an inclusive environment where different viewpoints can be discussed respectfully.,S10. Scientific evidence should play an important role in public policy decisions.,S11. People should be free to express differing opinions as long as they do not promote harm or discrimination.,S12. Young people should actively participate in addressing societal challenges.,S13. Critical evaluation of online information should be taught as a core educational skill.,S14. Leaders should prioritize ethical decision-making even when it reduces short-term gains.,S15. Building public trust is essential for responsible adoption of emerging technologies.,V01. Climate change requires immediate global action.,V02. Governments should prioritize investment in renewable energy over fossil fuels.,V03. Individuals should actively reduce their personal energy consumption.,V04. Public transportation and non-motorized transport should be promoted even if they require additional public investment.,V05. Single-use plastics should be significantly restricted.,"V06. Water conservation should be a priority in households, institutions, and industries.",V07. Protecting biodiversity is essential for long-term human well-being.,V08. Universities should adopt environmentally sustainable campus practices even if implementation costs increase.,"V09. Products should be designed to encourage reuse, repair, and recycling.",V10. Consumers should consider environmental impact when purchasing products.,V11. Technological innovation is essential for addressing environmental challenges.,V12. Environmental sustainability should be integrated into higher education curricula.,V13. Companies should be held accountable for the environmental impacts of their activities.,V14. International cooperation is necessary to effectively address environmental challenges.,V15. Current generations have a responsibility to protect natural resources for future generations.
T01. Artificial Intelligence will improve society more than it will create problems.,1.0,0.3931689951935344,-0.062008761214446616,0.004178761022758951,0.21618238693365768,0.0066914842780355374,0.2181130973813959,0.14994659811426767,0.057547422385556594,0.002275583733429505,-0.02211319596129336,-0.2783354177357067,-0.09848556834955344,-0.05555451036078496,-0.0023087630693965806,0.04093550354286753,0.17496148358102048,0.05035290101157992,0.09492534085030649,0.034698571370685605,0.12398128450462764,-0.044830106111490416,0.2347918526420731,-0.04587830271417296,-0.12119979956023023,-0.0086193953201863,0.20933025408403966,0.042997891246441454,0.12157798534490691,-0.12135946051559475,-0.031392324123090704,-0.01304327247485097,-0.01909452746075546,-0.22219423718710254,-0.14172103729065333,-0.06927573226536593,0.059650921638137885,0.05475800670485862,-0.08498156621915608,-0.00016880909586185994,0.0552654740754132,0.08511453657694126,-0.11243147786747981,-0.09666944714951199,0.10197015205840912,-0.006495128196900677,0.02585545582805628,-0.04927189754894867,0.010619477356993295,-0.12340395547892119,-0.033423519590019705,-0.027704153028576685,0.046979137517254174,-0.11814774645413559,-0.018803844286268103,0.004853178742996343,-0.1632497620693986,-0.1185322858152327,-0.04412323826205357,-0.06984957786404569
T02. Generative AI tools should be allowed as learning aids in higher education.,0.3931689951935344,1.0,0.028764520179644315,0.20355369923584546,0.10334013508277984,0.2194639206684821,0.1563751643074154,0.13168012108641142,-0.07061744192796629,0.07591084222636849,0.08594477711132932,-0.07846763900650625,0.05622998047458784,0.02441468416893935,0.05735060949198564,0.08941712975229775,-0.029159439887166343,-0.1520094685907686,0.13713708667993402,-0.18745767081429826,0.03286606086142529,0.11495680344047948,0.06605877652767173,0.020593008068625136,0.02447835438244382,0.06374169048295591,0.4683304767660432,-0.03386175442330935,0.29596059522369844,0.09876934283932245,0.13975148344563143,0.07796139874004816,0.1213440217184319,0.047730923360539176,0.008640210472302574,0.04549993985939324,0.12662236219078987,0.17020895008016304,0.1098430166863205,-0.06427184464661247,-0.0534059829678151,0.13133120728977876,0.11670052404410693,0.16021050280355792,0.26343829438528094,0.05983578189210473,0.24831364059804742,0.15181202933701177,0.046844696150327575,0.004457451761477489,0.04119168420884001,0.025380331437333894,0.15552924635058907,-0.07332051552983998,0.12758820598804593,0.24382228334896086,0.08514430767425081,-0.028825540098028343,0.058587952686342364,-0.02846742326129803
T03. Students should disclose the use of AI in assignments and reports.,-0.062008761214446616,0.028764520179644315,1.0,0.04977692449450027,0.0062762119613874795,0.1640167923595094,0.12662611212886266,-0.05596632247899775,0.08228967571204092,0.16511052145631674,0.1586462419263835,0.39966101809129345,0.14759751008677977,0.24196934576662063,0.24722254970077115,-0.13589540789524293,0.08411719272959572,-0.05420185385239591,-0.34288824954570485,0.04279276310911039,-0.09345725590094978,0.16125969778199437,0.0948760618783936,-0.0011066488157493687,0.09961794244629017,0.3426972232275549,0.08834928127700277,-0.13527920442278205,0.14122179730310933,0.13463583928413056,0.04370105986330545,0.24819094541997808,-0.025715381940141304,0.07813138153045979,0.1848407690818856,0.10773251561971225,0.10960307409879597,0.17371122643458056,0.16481349779282004,0.08057039639870334,0.17024655522155493,0.24142744646647044,0.11167505442613697,0.13169751000557461,0.20675350182047805,-0.07059925828303099,0.28916577080177513,-0.06002728315850144,0.22672392193676338,0.07812313565152487,0.09358339922487219,0.1866767069414944,0.15127908743387067,0.3165034522208454,0.12274976475847038,0.06520834553982022,0.12721523781800154,0.11573799469247747,0.053907306751997536,0.22189172585907582
T04. Every engineering student should receive formal education in AI.,0.004178761022758951,0.20355369923584546,0.04977692449450027,1.0,0.1530317446735146,0.1779184757163207,0.044195199250269525,0.11616744747835663,-0.0483381102394229,0.13532372782874202,-0.15372994447356328,0.05659771209075472,-0.036949466316857436,0.1717971466272873,0.25139059882786136,0.046886995919833085,-0.027433720214354758,-0.048921229796199256,-0.13035768170014625,0.02438986194433243,0.10979628125733283,0.22924421201640283,-0.00032056506537709597,0.18669053580769762,0.23358190538846033,0.007135368286611722,0.26669397777481785,0.026256133024995364,0.3207051953875862,0.133192301703188,0.12607174056358605,0.11253422316717974,0.1604427785576866,0.03205524815959375,-0.02470573791260726,-0.014813841306897703,-0.0427443474173457,-0.16085230373808962,0.10069480959559163,0.12106320914719818,-0.014485981252071584,0.1493462043193141,0.26622571791556104,0.13775410694016446,0.20758571545121726,0.07392922223630789,-0.05656916137898278,0.15958957632965512,-0.08291399991086684,-0.16853730620894222,-0.08146337767781073,-0.02355709686979047,0.10577133178158823,-0.03913098583194951,0.027380322003892354,0.04353958890578644,0.020639418892949995,-0.05760785201285939,0.022846401260878963,0.08230538570867704
T05. Artificial Intelligence will significantly accelerate scientific discovery.,0.21618238693365768,0.10334013508277984,0.0062762119613874795,0.1530317446735146,1.0,0.2112968767953169,0.1889661013552975,0.2739722435106216,0.08809880026986298,0.16438770043820183,0.18598199247391112,0.16964100293123266,0.007474517060083217,0.1511188713346556,0.31201636212968786,0.04153624295519144,-0.01111586020006384,-0.15661520097849832,0.06194169242232142,-0.10304229770140283,-0.11199339650959315,0.10668307333064095,-0.06287218120420998,-0.14861780773186664,0.21843417313112343,0.1564158472514172,0.1702846803544016,-0.029768578592387247,0.16903840467679926,0.10377237442913094,0.04209072848153226,-0.04466715671138201,0.12556415923167114,-0.02640336518150694,0.2419572010984413,0.2119543585490209,0.2849888812124805,-0.03280187152183172,0.10807649647649012,0.2295023677103186,0.35364128722682653,0.23543548302073364,0.2519256637144049,0.09205878870202797,0.23928548895015722,0.2677417257343615,0.14923219605064392,0.02750732428304119,0.11700843390029755,-0.01513089081513388,0.27402311282598035,0.048774799535422644,0.11824449054631357,0.04067554509787234,0.15641494664004663,0.22573611724007675,0.05147034508492117,0.06634839107775993,0.1886570557671294,0.15832617156216636
T06. Most repetitive jobs will eventually be replaced by intelligent automation.,0.0066914842780355374,0.2194639206684821,0.1640167923595094,0.1779184757163207,0.2112968767953169,1.0,0.17657805079174352,0.03070580536428103,0.06302651457527063,0.04640190030233588,0.1879859225921224,0.2527825022811852,0.09867437249974843,0.05821326445220576,0.25337752584667955,0.2571875502675225,-0.08476737273231792,-0.2086905707749896,0.1174120094754893,-0.01547836863808129,0.2227529720747877,0.13215860356318843,0.12246951412682146,-0.057139547754518794,0.2882806993634789,0.18493360309377047,0.3638242222184315,-0.1189404351779463,0.3729645606098673,0.2607253993660114,-0.008003113905783291,-0.011791994119860249,0.09190106050731148,0.2117895350487153,0.061919232600637114,0.10260934151126565,0.3457969574142959,-0.09327940703638048,0.07970134543078927,0.2103066147465927,-0.005150165409660479,0.1913143343916917,0.26533296860968536,0.1432733797387949,0.11549808197054705,0.018178845479586113,0.17607378828837605,0.21463742977776246,0.13963187074749653,0.243575505137311,0.19880235905083807,0.16326417172273197,0.05702568132344503,0.18351526078011826,0.08226866152474911,0.15811927737882306,0.1304668980881726,0.0993169817698878,0.11453867696850305,0.38134237208663996
T07. Robots should replace humans in hazardous occupations whenever possible.,0.2181130973813959,0.1563751643074154,0.12662611212886266,0.044195199250269525,0.1889661013552975,0.17657805079174352,0.9999999999999999,0.15280575146374017,0.2562465604481049,0.06923377234837803,0.2575528017954084,0.103487892644631,0.007487020725576315,0.25785526868509473,-0.016605682612202303,0.08636865937945709,0.08478025028680161,-0.08819606072000175,0.08920546767844494,0.05467738440084425,0.12682837207355346,0.06505430319084322,0.09854562787001492,-0.036635216011298335,0.007770219374684459,0.15936073202983111,0.0740810477288239,0.004603891477152888,0.0898225214826297,0.08589240603145416,0.23995461743325408,0.16977804488771805,0.2062146870990668,0.09401410089797835,-0.0282216144928881,0.21506522428012023,0.32416268115056035,0.22645415397109905,0.29270756685868465,0.26782519135893185,0.0863301401715603,0.24808037625222207,0.24269304649798995,0.2795475260778281,0.24028441281533008,0.36582282829213936,0.28718139546223936,0.018851837084290463,0.21248823197106834,0.1733949029619496,0.07899744701940611,0.195870028874749,0.27331869447509727,0.03706489903054048,0.24228386913075983,0.28773700019364845,0.16625225909010677,0.28529071114864557,0.3036780359778325,0.11667225695966865
T08. AI-assisted diagnosis should become routine in healthcare.,0.14994659811426767,0.13168012108641142,-0.05596632247899775,0.11616744747835663,0.2739722435106216,0.03070580536428103,0.15280575146374017,0.9999999999999999,0.2673817087597113,0.06578222912418907,0.250763015296223,0.09824163669206612,0.12052707330958283,0.07898089631729792,0.040845515465247895,-0.06919177626543971,0.18268763486093498,-0.010892095781717407,-0.14496934954927967,0.0779859251541728,0.17711472328562572,-0.03252560683330769,-0.20827834491958758,-0.046681365187673234,-0.09504316715944959,-0.08741912216946664,0.15246531029624752,0.22410809609053928,0.11063515549832889,-0.1032599211661444,0.03511303154674211,-0.010322116300005386,0.015698349349741982,0.03197205780143628,0.11741350163653308,-0.04527996046810854,0.10544777503362714,0.08760034275341377,0.08802389763422137,0.15617960952268503,-0.010469113610730049,0.15762086961484809,0.10761436295799434,-0.05265830262360842,0.05284782910380174,0.02295244201151079,-0.053733171835897854,-0.0038816736609804444,0.030683905678161025,-0.0716225159834928,-0.031529523092685606,0.03562687899755622,0.06297481703207676,-0.10430510429604216,0.11392770546849296,0.2125640304328806,-0.027497248679147074,0.04207354906148321,0.016220230774051145,-0.0535748846995135
T09. Autonomous vehicles will ultimately make transportation safer.,0.057547422385556594,-0.07061744192796629,0.08228967571204092,-0.0483381102394229,0.08809880026986298,0.06302651457527063,0.2562465604481049,0.2673817087597113,0.9999999999999999,-0.15347331964485356,0.1602444151841145,-0.12880594909379456,-0.0880752640024476,-0.03258133286710032,0.00132113222009975,-0.01475170987176912,-0.0066097723283623025,-0.0355078590343339,0.10520862949145013,0.0851671994536544,0.1501204089270588,0.13205118222579687,-0.09094133214560762,-0.0747103214483422,0.022298697093325687,-0.034186320824058716,0.03862592628020675,0.13114198134146546,0.10616246597983026,0.09842884442241638,0.1217309246315507,0.18596265005693347,0.04441200271006948,-0.045958744829532105,-0.1653044592761445,-0.03874825381892936,0.09085010679957882,0.25500879730170634,0.13167320309937414,0.2207154959509006,0.17933747060981045,0.24860821464563412,0.08902084064757405,-0.022232276654902763,0.06037504768132478,0.09997535329255346,0.07502524365119159,0.07833183428998464,0.012022763361432464,0.11094622830415418,-0.02543151777725381,0.17190296114445774,0.08202979008068043,-0.007314462069611542,-0.07476430408308728,0.1982909632358587,-0.012069277683345793,0.025890345055712645,0.16197012746330958,0.19332952844397316
T10. Protection of personal data is more important than technological convenience.,0.002275583733429505,0.07591084222636849,0.16511052145631674,0.13532372782874202,0.16438770043820183,0.04640190030233588,0.06923377234837803,0.06578222912418907,-0.15347331964485356,1.0,0.3278479428908267,0.4180258498275172,0.27274689490776566,0.26233641298578136,0.025517636954175398,-0.053451172017029924,-0.08389926574919897,-0.14203738277774705,-0.09028194644709946,0.1636599141909945,-0.04113016088494036,0.1756606610394204,-0.040923337455856225,0.272314944292136,0.11994025474477812,0.27113193068465635,0.11536723157720408,0.0007435685201186878,0.09421968402225431,0.07406032347941605,0.2058543105850334,0.22754120045825957,0.22176316660699832,0.15645824867384076,0.5528161005135602,0.155363694643731,0.06778746233247565,0.1293210479512917,0.14376571974391242,0.1887048458023526,0.08069464614441876,0.20507655668685185,0.12782121078496553,0.19515462522173055,0.183035921550725,0.0026102702316848922,0.15018119209612943,0.07676811985086002,0.1531768280393848,0.016007216310708228,0.09045418038208558,0.11338835759425835,0.11680352585657137,0.13071370812295585,0.20629436467103668,0.013219647137342614,0.13412479041662892,0.18926351955211845,0.02354593205817294,0.20439083260316482
